TYPE,P_TEST,A_TEST,P_TRAIN,A_TRAIN
C_1H_5N_SIGM,0.7736913063986891,0.7257,0.7763678108885521,0.7289
C_1H_10N_SIGM,0.878559496036129,0.8749,0.8809186421255942,0.8773
C_1H_30N_SIGM,0.9235682220250734,0.9231,0.9261443828439224,0.9256
C_1H_50N_SIGM,0.9259056763164818,0.9239,0.929785994130427,0.9281
C_2H_30N_SIGM,0.8729047426617024,0.8661,0.8734176905775166,0.8677166666666667
C_3H_30N_SIGM,0.21957890169578156,0.2011,0.24191925379409038,0.20158333333333334
C_2H_60N_SIGM,0.9189964526799999,0.9182,0.923791585575459,0.9230333333333334
C_3H_90N_SIGM,0.6170839969925421,0.6212,0.610771125320233,0.6222166666666666
C_1H_30N_RELU,0.9424434918928316,0.942,0.9439113954324905,0.9435833333333333
C_1H_30N_TANH,0.9376383156052619,0.9374,0.941446008387682,0.9411833333333334
